dna_library_id	clone	clone_comb	clone_filtered	clone_rev	clone_final	diff_bins	diff_bins_z	kmeans	kmeans_rev	kmeans_diff
VZA02704D_A02	1	1_1	1	1_1	1_1	0	0	1	1	25717
VZA02704D_A03	2	2_1	2	2_1	2_1	0	0	1	1	2268
VZA02704D_A04	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_A05	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_A06	2	2_1	2	2_1	2_1	0	0	1	1	2268
VZA02704D_A07	2	2_1	2	2_1	2_1	0	0	1	1	2268
VZA02704D_A08	0	0_0	0	0	0	NA	NA	0	0	NA
VZA02704D_A09	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_A10	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_A11	1	1_1	1	1_1	1_1	0	0	1	1	25717
VZA02704D_A12	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_A13	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_A14	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_A15	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_A16	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_A17	4	4_1	4	4_1	4_1	0	0	1	1	6053
VZA02704D_A18	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_A19	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_A20	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_A21	1	1_1	1	1_1	1_1	0	0	1	1	25717
VZA02704D_A22	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_A23	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_A24	2	2_1	2	2_1	2_1	0	0	1	1	2268
VZA02704D_B01	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_B02	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_B03	2	2_1	2	2_1	2_1	0	0	1	1	2268
VZA02704D_B04	0	0_0	0	0	0	NA	NA	0	0	NA
VZA02704D_B05	4	4_1	4	4_1	4_1	0	0	1	1	6053
VZA02704D_B06	4	4_1	4	4_1	4_1	0	0	1	1	6053
VZA02704D_B07	2	2_1	2	2_1	2_1	0	0	1	1	2268
VZA02704D_B08	2	2_1	2	2_1	2_1	0	0	1	1	2268
VZA02704D_B09	2	2_1	2	2_1	2_1	0	0	1	1	2268
VZA02704D_B10	5	5_1	5	5_1	5_1	0	0	1	1	16306
VZA02704D_B11	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_B12	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_B13	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_B15	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_B17	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_B18	4	4_1	4	4_1	4_1	0	0	1	1	6053
VZA02704D_B19	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_B20	1	1_1	1	1_1	1_1	0	0	1	1	25717
VZA02704D_B21	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_B22	0	0_0	0	0	0	NA	NA	0	0	NA
VZA02704D_B23	0	0_0	0	0	0	NA	NA	0	0	NA
VZA02704D_B24	2	2_1	2	2_1	2_1	0	0	1	1	2268
VZA02704D_C01	2	2_1	2	2_1	2_1	0	0	1	1	2268
VZA02704D_C02	0	0_0	0	0	0	NA	NA	0	0	NA
VZA02704D_C03	5	5_1	5	5_1	5_1	0	0	1	1	16306
VZA02704D_C04	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_C05	2	2_1	2	2_1	2_1	0	0	1	1	2268
VZA02704D_C06	5	5_1	5	5_1	5_1	0	0	1	1	16306
VZA02704D_C07	2	2_1	2	2_1	2_1	0	0	1	1	2268
VZA02704D_C08	5	5_1	5	5_1	5_1	0	0	1	1	16306
VZA02704D_C09	2	2_1	2	2_1	2_1	0	0	1	1	2268
VZA02704D_C10	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_C11	0	0_0	0	0	0	NA	NA	0	0	NA
VZA02704D_C12	2	2_1	2	2_1	2_1	0	0	1	1	2268
VZA02704D_C13	4	4_1	4	4_1	4_1	0	0	1	1	6053
VZA02704D_C14	2	2_1	2	2_1	2_1	0	0	1	1	2268
VZA02704D_C15	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_C16	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_C17	2	2_1	2	2_1	2_1	0	0	1	1	2268
VZA02704D_C18	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_C19	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_C20	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_C21	2	2_1	2	2_1	2_1	0	0	1	1	2268
VZA02704D_C22	1	1_1	1	1_1	1_1	0	0	1	1	25717
VZA02704D_C23	1	1_1	1	1_1	1_1	0	0	1	1	25717
VZA02704D_C24	2	2_1	2	2_1	2_1	0	0	1	1	2268
VZA02704D_D01	0	0_0	0	0	0	NA	NA	0	0	NA
VZA02704D_D02	1	1_1	1	1_1	1_1	0	0	1	1	25717
VZA02704D_D03	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_D04	0	0_0	0	0	0	NA	NA	0	0	NA
VZA02704D_D05	2	2_1	2	2_1	2_1	0	0	1	1	2268
VZA02704D_D06	2	2_1	2	2_1	2_1	0	0	1	1	2268
VZA02704D_D07	2	2_1	2	2_1	2_1	0	0	1	1	2268
VZA02704D_D09	2	2_1	2	2_1	2_1	0	0	1	1	2268
VZA02704D_D10	0	0_0	0	0	0	NA	NA	0	0	NA
VZA02704D_D11	1	1_1	1	1_1	1_1	0	0	1	1	25717
VZA02704D_D12	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_D13	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_D14	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_D15	3	3_1	3	3_1	3_1	0	0	1	1	18699
VZA02704D_D16	3	3_1	3	3_1	3_1	0	0	1	1	18699
