dna_library_id	logp.dens	lods.up	lods.down	multiplication
VZA02704D_A02	-11.828842466922234	-38.66595800736078	-96.57691297527496	1
VZA02704D_A04	-6.681088406112801	-31.833649319568664	-149.90059406570026	1
VZA02704D_A06	-8.70873788672455	-36.093871293883474	-167.64924908369844	1
VZA02704D_A07	-9.446449703040978	-38.34886471691151	-169.71013872179216	1
VZA02704D_A08	-22.03155367252959	16.69083419419468	-505.2886262529053	2
VZA02704D_A09	-4.222732126405067	-21.636327659897063	-164.2474904270692	1
VZA02704D_A10	-6.394255304636081	-30.37286639619512	-146.5078815186356	1
VZA02704D_A11	-6.7767962316386665	-27.475249869567012	-109.35615821618195	1
VZA02704D_A12	-6.198869315104163	-28.458926047993344	-141.07175680809465	1
VZA02704D_A13	-5.904163938232017	-28.622599028828382	-147.231843460764	1
VZA02704D_A14	-5.789106392414359	-28.1687311162543	-147.22217406290622	1
VZA02704D_A15	-6.386749039112228	-28.803130391978012	-134.4366289782322	1
VZA02704D_A16	-6.068804794933227	-28.779890132465866	-143.3712712405628	1
VZA02704D_A17	-5.837216977738686	-29.40225656902937	-184.31561454766097	1
VZA02704D_A18	-5.429287497398863	-26.626424177244633	-146.6542859818945	1
VZA02704D_A19	-9.154046189103397	-38.26330922670277	-145.00989357888187	1
VZA02704D_A20	-6.179322683950302	-31.5040568535763	-162.09562743952523	1
VZA02704D_A21	-8.50130744886607	-35.236975615275966	-122.42234314615669	1
VZA02704D_A22	-6.339402921771432	-29.670513219440537	-142.534801257595	1
VZA02704D_A23	-7.32108052611318	-35.852644913619194	-168.44347967869595	1
VZA02704D_A24	-9.695442763003134	-41.3124135905107	-187.87625474980948	1
VZA02704D_B02	-6.081366197205501	-33.085102153879035	-183.66863931944076	1
VZA02704D_B04	-4.939129149465903	-26.875428124693066	-165.02114595664398	1
VZA02704D_B06	-5.43855433355121	-25.701218463114976	-163.29912411149547	1
VZA02704D_B07	-8.447938465635675	-35.722802618112944	-170.58167859662282	1
VZA02704D_B08	-6.566643284435001	-31.45744549816107	-184.58812323998467	1
VZA02704D_B09	-14.02605231405634	-48.87130208891581	-166.18760126884956	1
